MQ_KURZNAME;DET_NAME_ALT;DET_NAME_NEU;DET_ID15;MQ_ID15;STRASSE;POSITION;POS_DETAIL;RICHTUNG;SPUR;annotation;LÄNGE (WGS84);BREITE (WGS84);INBETRIEBNAHME;ABBAUDATUM;DEINSTALLIERT;KOMMENTAR
TE397;TEU00397_Det1;TE397_Det_HF2;1.00101E+14;1.00201E+14;Königin-Elisabeth-Straße;zwischen Knobelsdorffstraße und Fredericiastraße;;Süd;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.28147568;52.51174135;17.04.07;;;
TE398;TEU00398_Det0;TE398_Det_HF1;1.00101E+14;1.00201E+14;Paulsborner Straße;Brandenburgische Straße und Eisenzahnstraße;;Südwest;HF_R;Hauptfahrbahn rechte Spur;13.30588145;52.49785277;18.04.07;;;
TE402;TEU00202_Det0;TE402_Det_HF1;1.00101E+14;1.00201E+14;Karl-Marx-Allee;zwischen Straße der Pariser Kommune und Koppenstraße, in Höhe Haus Nr. 81;Lebuser Straße;West;HF_R;Hauptfahrbahn rechte Spur;13.43846667;52.51746256;19.02.03;;;
TE410;TEU00410_Det0;TE410_Det_HF1;1.00101E+14;1.00201E+14;Torstraße;zwischen Gormannstraße und Alte Schönhauser Straße;Rosa-Luxemburg-Platz;Südost;HF_R;Hauptfahrbahn rechte Spur;13.40732173;52.529035;20.12.08;;;
TE410;TEU00410_Det1;TE410_Det_HF2;1.00101E+14;1.00201E+14;Torstraße;zwischen Gormannstraße und Alte Schönhauser Straße;Rosa-Luxemburg-Platz;Südost;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.40732173;52.529035;20.12.08;;;
TE414;TEU00414_Det0;TE414_Det_HF1;1.00101E+14;1.00201E+14;Späthstraße;zwischen BAB113 und Haarlemer Straße;Buschkrugallee;West;HF_R;Hauptfahrbahn rechte Spur;13.45775531;52.45361245;09.12.08;;;
TE414;TEU00414_Det1;TE414_Det_HF2;1.00101E+14;1.00201E+14;Späthstraße;zwischen BAB113 und Haarlemer Straße;Buschkrugallee;West;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.45775531;52.45361245;09.12.08;;;
TE415;TEU00415_Det1;TE415_Det_HF1;1.00101E+14;1.00201E+14;Neuköllner Straße;zwischen Alt-Rudow und Stubenrachstraße, in Höhe Kleestraße;Stubenrauchstraße;Nordwest;HF_R;Hauptfahrbahn rechte Spur;13.4873386;52.42301215;23.12.08;;;
TE415;TEU00415_Det2;TE415_Det_HF2;1.00101E+14;1.00201E+14;Neuköllner Straße;zwischen Alt-Rudow und Stubenrachstraße, in Höhe Kleestraße;Stubenrauchstraße;Nordwest;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.4873386;52.42301215;23.12.08;;;
TE424;TEU00424_Det1;TE424_Det_HF1;1.00101E+14;1.00201E+14;Potsdamer Straße;zwischen Großgörschenstraße und Goebenstraße;Potsdamer Platz;Nord;HF_R;Hauptfahrbahn rechte Spur;13.36094196;52.49275861;20.12.08;;;
TE425;TEU00425_Det1;TE425_Det_HF1;1.00101E+14;1.00201E+14;Hauptstraße;zwischen Eisenacher Straße und Dominicusstraße;Dominicusstraße;Südwest;HF_R;Hauptfahrbahn rechte Spur;13.34968427;52.48282483;20.12.08;;;
TE425;TEU00425_Det2;TE425_Det_HF2;1.00101E+14;1.00201E+14;Hauptstraße;zwischen Eisenacher Straße und Dominicusstraße;Dominicusstraße;Südwest;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.34968427;52.48282483;20.12.08;;;
TE426;TEU00424_Det0;TE426_Det_Bus;1.00101E+14;1.00201E+14;Potsdamer Straße;zwischen Großgörschenstraße und Goebenstraße;Potsdamer Platz;Nord;BUS;Busspur;13.36098709;52.49275611;20.12.08;;;
TE427;TEU00425_Det0;TE427_Det_Bus;1.00101E+14;1.00201E+14;Hauptstraße;zwischen Eisenacher Straße und Dominicusstraße;Dominicusstraße;Südwest;BUS;Busspur;13.3496333;52.48285484;20.12.08;;;
TE431;TEU00431_Det0;TE431_Det_HF1;1.00101E+14;1.00201E+14;Torstraße;zwischen Straßburger Straße und Schönhauser Allee;Rosa-Luxemburg-Platz;Nordwest;HF_R;Hauptfahrbahn rechte Spur;13.41085059;52.5286484;20.12.08;;;
TE431;TEU00431_Det1;TE431_Det_HF2;1.00101E+14;1.00201E+14;Torstraße;zwischen Straßburger Straße und Schönhauser Allee;Rosa-Luxemburg-Platz;Nordwest;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.41085059;52.5286484;20.12.08;;;
TE435;TEU00435_Det0;TE435_Det_HF1;1.00101E+14;1.00201E+14;Joachimstaler Straße;zwischen Lietzenburger Straße und Kurfürstendamm;Kurfürstendamm;Nord;HF_R;Hauptfahrbahn rechte Spur;13.33124488;52.50190765;23.12.08;;X;Rad-/Busspur
TE435;TEU00435_Det1;TE435_Det_HF2;1.00101E+14;1.00201E+14;Joachimstaler Straße;zwischen Lietzenburger Straße und Kurfürstendamm;Kurfürstendamm;Nord;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.33124488;52.50190765;23.12.08;;;
TE436;TEU00436_Det0;TE436_Det_HF1;1.00101E+14;1.00201E+14;Bundesallee;zwischen Lietzenburger Straße und Spichernstraße;Spichernstraße;Süd;HF_R;Hauptfahrbahn rechte Spur;13.33046363;52.49857823;20.12.08;;;
TE436;TEU00436_Det1;TE436_Det_HF2;1.00101E+14;1.00201E+14;Bundesallee;zwischen Lietzenburger Straße und Spichernstraße;Spichernstraße;Süd;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.33046363;52.49857823;20.12.08;;;
TE437;TEU00437_Det0;TE437_Det_HF1;1.00101E+14;1.00201E+14;Leibnizstraße;zwischen Bismarckstraße und Kantstraße, in Höhe Kreuzung Schillerstraße;Kantstraße;Süd;HF_R;Hauptfahrbahn rechte Spur;13.31448025;52.5107973;17.12.08;;;
TE439;TEU00439_Det0;TE439_Det_HF1;1.00101E+14;1.00201E+14;Neue Kantstraße;zwischen Herbartstraße und Kuno-Fischer-Straße;Uhlandstraße;Ost;HF;Hauptfahrbahn rechte Spur;13.28705429;52.50647774;04.07.09;;X;Radspur
TE439;TEU00439_Det1;TE439_Det_HF2;1.00101E+14;1.00201E+14;Neue Kantstraße;zwischen Herbartstraße und Kuno-Fischer-Straße;Uhlandstraße;Ost;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.28705429;52.50647774;04.07.09;;;
TE440;TEU00440_Det0;TE440_Det_HF1;1.00101E+14;1.00201E+14;Neue Kantstraße;zwischen Kuno-Fischer-Straße und Herbartstraße;Stadtautobahn;West;HF;Hauptfahrbahn rechte Spur;13.28696166;52.50660915;04.07.09;;X;Radspur
TE440;TEU00440_Det1;TE440_Det_HF2;1.00101E+14;1.00201E+14;Neue Kantstraße;zwischen Kuno-Fischer-Straße und Herbartstraße;Stadtautobahn;West;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.28696166;52.50660915;04.07.09;;;
TE452;TEU00452_Det2;TE452_Det_HF1;1.00101E+14;1.00201E+14;Alt-Moabit;zwischen Spenerstraße und Paulstraße;Invalidenstraße;Ost;HF;Hauptfahrbahn rechte Spur;13.35540245;52.52369576;17.08.09;;;
TE452;TEU00452_Det3;TE452_Det_HF2;1.00101E+14;1.00201E+14;Alt-Moabit;zwischen Spenerstraße und Paulstraße;Invalidenstraße;Ost;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.35540245;52.52369576;17.08.09;;;
TE463;TEU00463_Det0;TE463_Det_HF1;1.00101E+14;1.00201E+14;Köpenicker Straße;zwischen Am Studio und Adlergestell;Adlergestell;Nordost;HF_R;Hauptfahrbahn rechte Spur;13.54854903;52.427418;09.12.08;;;
TE463;TEU00463_Det1;TE463_Det_HF2;1.00101E+14;1.00201E+14;Köpenicker Straße;zwischen Am Studio und Adlergestell;Adlergestell;Nordost;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.54854903;52.427418;09.12.08;;;
TE469;TEU00469_Det0;TE469_Det_Bus;1.00101E+14;1.00201E+14;Karl-Liebknecht-Straße;zwischen Bahnbrücke und Spandauer Straße, in Höhe LM 24;Unter den Linden;Südwest;BUS;Busspur;13.40598689;52.52086178;03.07.09;;;
TE470;TEU00469_Det1;TE470_Det_HF1;1.00101E+14;1.00201E+14;Karl-Liebknecht-Straße;zwischen Bahnbrücke und Spandauer Straße, in Höhe LM 24;Unter den Linden;Südwest;HF_R;Hauptfahrbahn rechte Spur;13.40598689;52.52086178;03.07.09;;;
TE470;TEU00469_Det2;TE470_Det_HF2;1.00101E+14;1.00201E+14;Karl-Liebknecht-Straße;zwischen Bahnbrücke und Spandauer Straße, in Höhe LM 24;Unter den Linden;Südwest;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.40598689;52.52086178;03.07.09;;;
TE471;TEU00471_Det1;TE471_Det_HFX;1.00101E+14;1.00201E+14;Karl-Liebknecht-Straße;zwischen Spandauer Straße und Bahnbrücke, in Höhe LM 25;Alexanderplatz;Nordost;HF_R;Hauptfahrbahn rechte Spur;13.40657904;52.52069638;16.08.09;;;
